"","date","flow","lg_temp_chg","lg_temp_final"
"1",2018-01-01,41190,1.47,4.83
"2",2018-01-02,40650,1.47,4.77
"3",2018-01-03,38000,1.57,5.04
"4",2018-01-04,36450,1.65,5.03
"5",2018-01-05,36850,1.57,5.34
"6",2018-01-06,38620,1.47,5.77
"7",2018-01-07,39150,1.45,5.88
"8",2018-01-08,37010,1.44,5.88
"9",2018-01-09,38530,1.39,5.91
"10",2018-01-10,45300,1.2,5.53
"11",2018-01-11,46560,1.22,5.47
"12",2018-01-12,49200,1.11,5.21
"13",2018-01-13,52800,1.02,5.52
"14",2018-01-14,49700,1.09,5.65
"15",2018-01-15,48710,1.13,5.18
"16",2018-01-16,46070,1.18,5.03
"17",2018-01-17,45850,1.2,5.24
"18",2018-01-18,47280,1.13,5.44
"19",2018-01-19,52300,1.08,5.38
"20",2018-01-20,52050,1.11,5.13
"21",2018-01-21,49870,1.14,4.96
"22",2018-01-22,48460,1.12,5.05
"23",2018-01-23,46180,1.22,5.03
"24",2018-01-24,44180,1.22,5.31
"25",2018-01-25,42080,1.3,5.5
"26",2018-01-26,44900,1.25,5.17
"27",2018-01-27,46160,1.18,5.03
"28",2018-01-28,45320,1.16,5.22
"29",2018-01-29,43130,1.18,5.6
"30",2018-01-30,43500,1.16,5.85
"31",2018-01-31,42180,1.35,5.63
"32",2018-02-01,43300,1.34,5.46
"33",2018-02-02,46880,1.17,5.62
"34",2018-02-03,52300,0.99,6.16
"35",2018-02-04,63700,0.79,6.29
"36",2018-02-05,84900,0.59,5.65
"37",2018-02-06,77800,0.67,5.9
"38",2018-02-07,68600,0.77,6.18
"39",2018-02-08,64800,0.79,6.47
"40",2018-02-09,67300,0.78,6.48
"41",2018-02-10,63900,0.9,6.05
"42",2018-02-11,59800,1,5.34
"43",2018-02-12,58300,1.01,5.02
"44",2018-02-13,54000,1.12,4.7
"45",2018-02-14,53500,1.03,4.78
"46",2018-02-15,55980,1.02,5.21
"47",2018-02-16,56150,1.01,5.38
"48",2018-02-17,55830,0.97,5.33
"49",2018-02-18,58480,0.93,5.29
"50",2018-02-19,57630,1.08,5.07
"51",2018-02-20,55930,1.17,4.58
"52",2018-02-21,54750,1.14,4.65
"53",2018-02-22,54110,1.14,4.81
"54",2018-02-23,53680,1.13,4.8
"55",2018-02-24,52180,1.14,4.81
"56",2018-02-25,52520,1.09,4.86
"57",2018-02-26,52000,1.1,5.01
"58",2018-02-27,51380,1.16,5.05
"59",2018-02-28,51200,1.09,5.24
"60",2018-03-01,50310,1.07,5.6
"61",2018-03-02,51230,1.1,5.79
"62",2018-03-03,47220,1.23,5.71
"63",2018-03-04,47760,1.18,5.76
"64",2018-03-05,46200,1.21,5.87
"65",2018-03-06,47970,1.16,5.98
"66",2018-03-07,48790,1.14,6.16
"67",2018-03-08,48260,1.06,6.36
"68",2018-03-09,51340,1,6.6
"69",2018-03-10,56270,0.99,6.45
"70",2018-03-11,55450,0.99,6.53
"71",2018-03-12,56540,0.95,6.64
"72",2018-03-13,56620,0.89,6.7
"73",2018-03-14,58550,0.88,6.88
"74",2018-03-15,67700,0.81,6.62
"75",2018-03-16,66300,0.85,6.4
"76",2018-03-17,64970,0.84,6.3
"77",2018-03-18,65300,0.86,6.45
"78",2018-03-19,62900,0.91,6.56
"79",2018-03-20,59200,0.94,6.77
"80",2018-03-21,60130,0.89,6.95
"81",2018-03-22,60110,0.86,7
"82",2018-03-23,67000,0.83,6.88
"83",2018-03-24,68100,0.83,6.99
"84",2018-03-25,67700,0.85,7.02
"85",2018-03-26,61800,0.92,7.2
"86",2018-03-27,55720,0.98,7.78
"87",2018-03-28,55370,0.94,8.28
"88",2018-03-29,59530,0.93,8.51
"89",2018-03-30,59470,0.9,8.85
"90",2018-03-31,57780,0.92,9.1
"91",2018-04-01,60700,0.93,8.79
"92",2018-04-02,62600,0.93,8.43
"93",2018-04-03,62000,0.91,8.13
"94",2018-04-04,71930,0.77,8.5
"95",2018-04-05,73300,0.75,8.89
"96",2018-04-06,74300,0.71,9.35
"97",2018-04-07,87500,0.61,9.35
"98",2018-04-08,102100,0.52,8.5
"99",2018-04-09,108900,0.48,8.38
"100",2018-04-10,104600,0.5,8.83
"101",2018-04-11,104300,0.51,9.15
"102",2018-04-12,109400,0.5,9.05
"103",2018-04-13,108600,0.51,8.48
"104",2018-04-14,104300,0.51,9.01
"105",2018-04-15,102000,0.52,9.45
"106",2018-04-16,102700,0.53,9.58
"107",2018-04-17,104000,0.54,8.88
"108",2018-04-18,100200,0.56,8.9
"109",2018-04-19,96300,0.56,9.65
"110",2018-04-20,93800,0.57,10.16
"111",2018-04-21,87800,0.6,10.64
"112",2018-04-22,88100,0.63,10.45
"113",2018-04-23,90900,0.61,10.44
"114",2018-04-24,92800,0.56,10.64
"115",2018-04-25,93300,0.53,11.13
"116",2018-04-26,95800,0.52,11.19
"117",2018-04-27,96000,0.5,11.2
"118",2018-04-28,106900,0.47,10.45
"119",2018-04-29,115800,0.47,9.56
"120",2018-04-30,116200,0.46,9.33
"121",2018-05-01,102300,0.51,9.28
"122",2018-05-02,95600,0.54,9.79
"123",2018-05-03,90100,0.55,10.57
"124",2018-05-04,91000,0.53,11.45
"125",2018-05-05,100800,0.49,11.48
"126",2018-05-06,114200,0.41,11.02
"127",2018-05-07,138600,0.36,10.24
"128",2018-05-08,135100,0.35,10.45
"129",2018-05-09,142100,0.34,10.76
"130",2018-05-10,160800,0.33,9.97
"131",2018-05-11,150200,0.36,9.56
"132",2018-05-12,132400,0.4,9.98
"133",2018-05-13,121900,0.39,10.88
"134",2018-05-14,117300,0.4,11.28
"135",2018-05-15,125900,0.36,11.81
"136",2018-05-16,136500,0.35,11.79
"137",2018-05-17,147700,0.34,11.24
"138",2018-05-18,151400,0.33,11.02
"139",2018-05-19,150100,0.33,11.55
"140",2018-05-20,147900,0.33,11.74
"141",2018-05-21,148300,0.33,11.77
"142",2018-05-22,148900,0.32,12.11
"143",2018-05-23,154600,0.31,12.23
"144",2018-05-24,156100,0.3,12.08
"145",2018-05-25,166300,0.29,12.61
"146",2018-05-26,180900,0.27,12.52
"147",2018-05-27,170900,0.3,12.46
"148",2018-05-28,163600,0.3,13.25
"149",2018-05-29,161100,0.31,13.73
"150",2018-05-30,156700,0.33,13.68
"151",2018-05-31,151200,0.35,13.16
"152",2018-06-01,151500,0.35,12.94
"153",2018-06-02,135400,0.38,13.46
"154",2018-06-03,120900,0.4,14.19
"155",2018-06-04,115600,0.43,14.67
"156",2018-06-05,112600,0.48,15.01
"157",2018-06-06,108500,0.48,15.48
"158",2018-06-07,100900,0.49,15.74
"159",2018-06-08,96100,0.52,16.2
"160",2018-06-09,92300,0.57,15.92
"161",2018-06-10,87700,0.64,14.8
"162",2018-06-11,86300,0.65,14.49
"163",2018-06-12,81500,0.67,14.83
"164",2018-06-13,73400,0.69,15.52
"165",2018-06-14,66400,0.79,16.4
"166",2018-06-15,62800,0.86,16.8
"167",2018-06-16,58800,0.91,16.37
"168",2018-06-17,58800,0.93,15.54
"169",2018-06-18,55900,0.93,15.15
"170",2018-06-19,64600,0.79,15.02
"171",2018-06-20,67000,0.73,15.95
"172",2018-06-21,66500,0.72,16.6
"173",2018-06-22,69400,0.7,16.91
"174",2018-06-23,73800,0.67,17.28
"175",2018-06-24,66800,0.75,17.37
"176",2018-06-25,64300,0.76,18.08
"177",2018-06-26,62400,0.85,18.23
"178",2018-06-27,60100,0.9,18.42
"179",2018-06-28,57100,0.91,18.48
"180",2018-06-29,52500,1,18.35
