"","date","flow","lg_temp_chg","lg_temp_final"
"1",2018-01-01,41190,0.16,3.52
"2",2018-01-02,40650,0.19,3.49
"3",2018-01-03,38000,0.22,3.69
"4",2018-01-04,36450,0.21,3.59
"5",2018-01-05,36850,0.33,4.1
"6",2018-01-06,38620,0.37,4.67
"7",2018-01-07,39150,0.36,4.79
"8",2018-01-08,37010,0.59,5.03
"9",2018-01-09,38530,0.56,5.08
"10",2018-01-10,45300,0.44,4.77
"11",2018-01-11,46560,0.31,4.56
"12",2018-01-12,49200,0.39,4.49
"13",2018-01-13,52800,0.39,4.89
"14",2018-01-14,49700,0.41,4.97
"15",2018-01-15,48710,0.37,4.42
"16",2018-01-16,46070,0.43,4.28
"17",2018-01-17,45850,0.4,4.44
"18",2018-01-18,47280,0.46,4.77
"19",2018-01-19,52300,0.3,4.6
"20",2018-01-20,52050,0.25,4.27
"21",2018-01-21,49870,0.29,4.11
"22",2018-01-22,48460,0.4,4.33
"23",2018-01-23,46180,0.33,4.14
"24",2018-01-24,44180,0.46,4.55
"25",2018-01-25,42080,0.45,4.65
"26",2018-01-26,44900,0.36,4.28
"27",2018-01-27,46160,0.42,4.27
"28",2018-01-28,45320,0.52,4.58
"29",2018-01-29,43130,0.63,5.05
"30",2018-01-30,43500,0.64,5.33
"31",2018-01-31,42180,0.34,4.62
"32",2018-02-01,43300,0.27,4.39
"33",2018-02-02,46880,0.39,4.84
"34",2018-02-03,52300,0.47,5.64
"35",2018-02-04,63700,0.45,5.95
"36",2018-02-05,84900,0.34,5.4
"37",2018-02-06,77800,0.32,5.55
"38",2018-02-07,68600,0.34,5.75
"39",2018-02-08,64800,0.42,6.1
"40",2018-02-09,67300,0.35,6.05
"41",2018-02-10,63900,0.2,5.35
"42",2018-02-11,59800,0.13,4.47
"43",2018-02-12,58300,0.17,4.18
"44",2018-02-13,54000,0.12,3.7
"45",2018-02-14,53500,0.33,4.08
"46",2018-02-15,55980,0.24,4.43
"47",2018-02-16,56150,0.25,4.62
"48",2018-02-17,55830,0.35,4.71
"49",2018-02-18,58480,0.34,4.7
"50",2018-02-19,57630,0.04,4.03
"51",2018-02-20,55930,-0.07,3.34
"52",2018-02-21,54750,0.04,3.55
"53",2018-02-22,54110,0.07,3.74
"54",2018-02-23,53680,0.11,3.78
"55",2018-02-24,52180,0.16,3.83
"56",2018-02-25,52520,0.25,4.02
"57",2018-02-26,52000,0.25,4.16
"58",2018-02-27,51380,0.17,4.06
"59",2018-02-28,51200,0.33,4.48
"60",2018-03-01,50310,0.41,4.94
"61",2018-03-02,51230,0.31,5
"62",2018-03-03,47220,0.25,4.73
"63",2018-03-04,47760,0.31,4.89
"64",2018-03-05,46200,0.34,5
"65",2018-03-06,47970,0.35,5.17
"66",2018-03-07,48790,0.36,5.38
"67",2018-03-08,48260,0.55,5.85
"68",2018-03-09,51340,0.51,6.11
"69",2018-03-10,56270,0.29,5.75
"70",2018-03-11,55450,0.33,5.87
"71",2018-03-12,56540,0.38,6.07
"72",2018-03-13,56620,0.49,6.3
"73",2018-03-14,58550,0.43,6.43
"74",2018-03-15,67700,0.28,6.09
"75",2018-03-16,66300,0.23,5.78
"76",2018-03-17,64970,0.29,5.75
"77",2018-03-18,65300,0.25,5.84
"78",2018-03-19,62900,0.22,5.87
"79",2018-03-20,59200,0.29,6.12
"80",2018-03-21,60130,0.36,6.42
"81",2018-03-22,60110,0.42,6.56
"82",2018-03-23,67000,0.26,6.31
"83",2018-03-24,68100,0.22,6.38
"84",2018-03-25,67700,0.19,6.36
"85",2018-03-26,61800,0.24,6.52
