STATION,NAME,DATE,DAY,MONTH,YEAR,TAVG,TMAX,TMIN
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/1/2017,1,10,2017,57,63,50
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/2/2017,2,10,2017,53,61,45
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/3/2017,3,10,2017,52,64,38
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/4/2017,4,10,2017,51,66,38
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/5/2017,5,10,2017,52,65,41
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/6/2017,6,10,2017,54,75,40
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/7/2017,7,10,2017,64,65,51
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/8/2017,8,10,2017,54,61,44
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/9/2017,9,10,2017,50,64,37
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/10/2017,10,10,2017,53,63,43
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/11/2017,11,10,2017,53,58,44
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/12/2017,12,10,2017,48,54,41
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/13/2017,13,10,2017,45,51,36
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/14/2017,14,10,2017,44,59,35
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/15/2017,15,10,2017,49,65,39
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/16/2017,16,10,2017,51,70,37
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/17/2017,17,10,2017,55,73,44
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/18/2017,18,10,2017,56,60,45
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/19/2017,19,10,2017,51,62,42
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/20/2017,20,10,2017,52,59,46
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/21/2017,21,10,2017,48,55,42
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/22/2017,22,10,2017,56,64,49
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/23/2017,23,10,2017,53,64,40
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/24/2017,24,10,2017,50,65,40
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/25/2017,25,10,2017,51,59,40
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/26/2017,26,10,2017,55,65,45
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/27/2017,27,10,2017,49,60,40
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/28/2017,28,10,2017,48,59,37
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/29/2017,29,10,2017,47,56,39
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/30/2017,30,10,2017,50,57,36
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",10/31/2017,31,10,2017,39,51,27
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/1/2017,1,11,2017,44,55,35
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/2/2017,2,11,2017,46,54,38
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/3/2017,3,11,2017,45,47,35
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/4/2017,4,11,2017,38,41,35
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/5/2017,5,11,2017,39,44,36
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/6/2017,6,11,2017,37,40,28
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/7/2017,7,11,2017,33,40,26
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/8/2017,8,11,2017,40,47,36
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/9/2017,9,11,2017,45,53,36
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/10/2017,10,11,2017,41,47,35
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/11/2017,11,11,2017,45,54,42
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/12/2017,12,11,2017,47,54,37
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/13/2017,13,11,2017,43,49,36
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/14/2017,14,11,2017,40,52,32
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/15/2017,15,11,2017,42,55,35
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/16/2017,16,11,2017,46,54,35
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/17/2017,17,11,2017,43,51,34
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/18/2017,18,11,2017,40,51,34
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/19/2017,19,11,2017,43,53,34
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/20/2017,20,11,2017,48,52,38
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/21/2017,21,11,2017,42,51,34
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/22/2017,22,11,2017,51,62,48
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/23/2017,23,11,2017,57,63,46
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/24/2017,24,11,2017,49,55,35
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/25/2017,25,11,2017,40,49,33
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/26/2017,26,11,2017,48,55,45
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/27/2017,27,11,2017,47,51,33
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/28/2017,28,11,2017,38,44,29
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/29/2017,29,11,2017,42,47,32
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",11/30/2017,30,11,2017,36,43,30
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/1/2017,1,12,2017,40,49,32
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/2/2017,2,12,2017,37,42,31
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/3/2017,3,12,2017,39,42,35
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/4/2017,4,12,2017,36,43,28
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/5/2017,5,12,2017,31,39,24
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/6/2017,6,12,2017,29,38,21
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/7/2017,7,12,2017,27,34,22
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/8/2017,8,12,2017,28,28,27
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/9/2017,9,12,2017,28,31,25
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/10/2017,10,12,2017,29,34,23
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/11/2017,11,12,2017,27,30,23
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/12/2017,12,12,2017,29,31,27
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/13/2017,13,12,2017,30,33,27
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/14/2017,14,12,2017,32,34,24
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/15/2017,15,12,2017,29,32,25
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/16/2017,16,12,2017,30,32,23
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/17/2017,17,12,2017,29,43,27
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/18/2017,18,12,2017,43,50,40
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/19/2017,19,12,2017,43,47,39
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/20/2017,20,12,2017,41,43,30
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/21/2017,21,12,2017,34,39,29
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/22/2017,22,12,2017,32,33,30
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/23/2017,23,12,2017,29,31,14
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/24/2017,24,12,2017,16,19,8
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/25/2017,25,12,2017,20,23,19
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/26/2017,26,12,2017,23,25,16
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/27/2017,27,12,2017,23,27,22
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/28/2017,28,12,2017,27,33,26
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/29/2017,29,12,2017,33,48,33
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/30/2017,30,12,2017,42,51,33
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",12/31/2017,31,12,2017,33,34,25
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/1/2018,1,1,2018,29,31,28
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/2/2018,2,1,2018,30,30,28
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/3/2018,3,1,2018,31,36,27
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/4/2018,4,1,2018,30,33,28
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/5/2018,5,1,2018,35,44,32
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/6/2018,6,1,2018,38,42,35
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/7/2018,7,1,2018,38,45,36
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/8/2018,8,1,2018,45,53,39
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/9/2018,9,1,2018,45,47,42
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/10/2018,10,1,2018,43,49,35
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/11/2018,11,1,2018,38,43,35
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/12/2018,12,1,2018,42,48,40
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/13/2018,13,1,2018,44,50,39
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/14/2018,14,1,2018,44,51,37
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/15/2018,15,1,2018,41,50,32
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/16/2018,16,1,2018,42,48,35
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/17/2018,17,1,2018,41,52,35
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/18/2018,18,1,2018,45,51,36
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/19/2018,19,1,2018,39,43,34
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/20/2018,20,1,2018,36,43,30
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/21/2018,21,1,2018,37,44,32
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/22/2018,22,1,2018,42,48,31
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/23/2018,23,1,2018,38,44,29
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/24/2018,24,1,2018,43,49,40
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/25/2018,25,1,2018,42,47,36
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/26/2018,26,1,2018,39,46,33
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/27/2018,27,1,2018,42,50,37
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/28/2018,28,1,2018,46,50,41
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/29/2018,29,1,2018,50,58,44
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/30/2018,30,1,2018,51,53,33
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",1/31/2018,31,1,2018,38,44,31
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",2/1/2018,1,2,2018,35,43,29
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",2/2/2018,2,2,2018,42,50,40
USW00024149,"LEWISTON NEZ PERCE CO AIRPORT, ID US",2/3/2018,3,2,2018,49,61,43
